Case,HIThr,VIThr,dice,dicectv,sensitivity,sensitivityctv,specificity,specificityctv
BraTS20_Training_001,95,88,0.861599827912671,0.912790943427691,0.765259766297605,0.8396003323462367,0.9997298079020231,0.9999961197713919
BraTS20_Training_002,95,88,0.8114952667676594,0.830878599716423,0.947319723018147,0.8936156339459055,0.9970701925924321,0.9855222782459259
BraTS20_Training_004,95,88,0.9061752458580669,0.8905183527898218,0.9388382159696993,0.9804025762321805,0.9984371926172848,0.9868452091647459
BraTS20_Training_005,95,88,0.6953047535724701,0.8179514127866961,0.542776487729363,0.6919778269986584,0.9999544129448373,1.0
BraTS20_Training_006,95,88,0.9291712435682489,0.9604542821340828,0.9234719528837176,0.9242606825162134,0.9989819963430605,0.9999721902758183
BraTS20_Training_007,95,88,0.8727750053750665,0.9347436329248388,0.9696268731771095,0.9882462185748643,0.9988709785572557,0.9946183115444417
BraTS20_Training_009,95,88,0.8166152263374485,0.9314620438715973,0.7109735982610026,0.8804987027787939,0.999365687864455,0.9989697137829086
BraTS20_Training_010,95,88,0.8170186206179132,0.9110256061443763,0.7927638957426764,0.8491484807593876,0.9992579432826418,0.9992407786137738
BraTS20_Training_011,95,88,0.8388384560673616,0.8954630225023111,0.994775984037729,0.9986571235029211,0.9976574659608447,0.9861477152098443
BraTS20_Training_012,95,88,0.7251831490441424,0.7300833599555046,0.9095504040435556,0.9572483704839881,0.9978421638883047,0.9743263061976677
BraTS20_Training_013,95,88,0.8737800844654761,0.9058007347081873,0.9264550378730659,0.9232016327727959,0.998987238986041,0.9910896743829315
BraTS20_Training_014,95,88,0.8286416241715441,0.8413551546073611,0.9711925966465993,0.9620228102297097,0.9966118510729006,0.9803160606509146
BraTS20_Training_015,95,88,0.9260649858103747,0.9699220401608768,0.9675944032501377,0.9821626174242797,0.9982622402888746,0.9962714181693914
BraTS20_Training_016,95,88,0.8701331188448409,0.9807199410684061,0.8888268639583612,0.9659641312190402,0.9977723643877819,0.9997066135185463
BraTS20_Training_017,95,88,0.8568179558022994,0.9487381296892669,0.9833660850751305,0.994511205463215,0.9964384119071393,0.9932385183621051
BraTS20_Training_018,95,88,0.7137474345818369,0.9143796658599803,0.9866350458796932,0.9971915298330023,0.996048242000738,0.9839871326260011
BraTS20_Training_019,95,88,0.872449424485525,0.8401425128834904,0.9137840491357856,0.9723643353541328,0.9991078546944504,0.9893011592287825
BraTS20_Training_020,95,88,0.8862746531872042,0.9714834482569519,0.827886722641241,0.9484795639215446,0.9991900437883648,0.9995990693989381
BraTS20_Training_021,95,88,0.5013747969963499,0.7633064019378204,0.8459764501600738,0.975064511691311,0.9936630187663182,0.9670755170128886
BraTS20_Training_022,95,88,0.9054922632205408,0.9126938370763752,0.9772013271088406,0.9656174789869103,0.9986069791900163,0.9896728480351957
BraTS20_Training_023,95,88,0.8606944239102002,0.8515768592663364,0.9201439548682034,0.8667457634118731,0.9989912090592915,0.9892846239672369
BraTS20_Training_024,95,88,0.8475026222234598,0.8402105216472137,0.9547931023664864,0.9864699735821678,0.9967692714064499,0.9750507490893661
BraTS20_Training_025,95,88,0.8928997689123644,0.8597353795568868,0.9575963070386863,0.8320040985515347,0.9984464507169919,0.9933802275591466
BraTS20_Training_026,95,88,0.9359332692811599,0.9849879953541325,0.9492298663477615,0.9774594073734522,0.9983649965212449,0.9992532112841319
BraTS20_Training_027,95,88,0.6554625984251968,0.9030438625152875,0.9992047773376546,0.9989368355222014,0.9921053807590535,0.9861600316781046
BraTS20_Training_028,95,88,0.5711603996996477,0.7465498461373633,0.9446859326486745,0.9696216309819783,0.9967958019841553,0.9763983547427821
BraTS20_Training_029,95,88,0.9072951739618407,0.9086807828027321,0.9399396991371844,0.9823742578082353,0.9990714720619344,0.9898660720412963
BraTS20_Training_030,95,88,0.8240969199634055,0.9573907207517909,0.8925922589556496,0.9558535243109783,0.99690318099349,0.9966662911671614
BraTS20_Training_031,95,88,0.8916358517757197,0.9474375231295035,0.9110137086372405,0.9136723024480616,0.998687388374564,0.9985952465917187
BraTS20_Training_032,95,88,0.8559822000471968,0.8821713654091329,0.9581509433962264,0.9894863269417715,0.9991647475144638,0.9916635469993119
BraTS20_Training_033,95,88,0.9376105275127732,0.9823702553915902,0.9747423689016437,0.9707217836508208,0.9985448609389934,0.9996281340935076
BraTS20_Training_034,95,88,0.9233389387044608,0.9706141978656952,0.9383879527808415,0.9838525220161313,0.9990237004164693,0.9977921489107165
BraTS20_Training_035,95,88,0.8162276319646778,0.8479165503767793,0.8655078348030197,0.9388149569618846,0.9977266833047337,0.9784602494715777
BraTS20_Training_036,95,88,0.850567203183465,0.9672390627770219,0.9656776803776129,0.9457265903366346,0.9994925486667482,0.9997302212404505
BraTS20_Training_037,95,88,0.8617370732957609,0.9293575115457756,0.7737697805947802,0.8682123423953871,0.9995227136685948,0.9999804667152828
BraTS20_Training_038,95,88,0.8900137147058408,0.985205615951769,0.9359926248277639,0.9807989095236481,0.9980877117239019,0.999313057371541
BraTS20_Training_039,95,88,0.789834218312999,0.8836978619971653,0.9394827685958382,0.9955373377678982,0.99743278248997,0.9874361797566176
BraTS20_Training_040,95,88,0.931047945365126,0.9836257603139479,0.9319059339531303,0.9730649801154895,0.9986306244494119,0.9995601899534025
BraTS20_Training_041,95,88,0.9133361340615227,0.9848621262365579,0.9646604086140254,0.9973195814016702,0.9983026276076906,0.9982351047220415
BraTS20_Training_042,95,88,0.8969644784554374,0.840905473546613,0.9738245401519441,0.9680196634141207,0.9983050255810773,0.9796183371388547
BraTS20_Training_043,95,88,0.722394080520334,0.835976626879089,0.8516391033690454,0.9566930033926824,0.9978689782692248,0.9828905842563553
BraTS20_Training_044,95,88,0.6673279017593576,0.8743878287141871,0.7378067885117493,0.8314062220810419,0.9989823602372921,0.9957978754343085
BraTS20_Training_045,95,88,0.9214715104551536,0.9589441018973762,0.9493133069286559,0.9821131631356569,0.9987768938130712,0.9955194317605762
BraTS20_Training_046,95,88,0.6273643963973666,0.8212207496633323,0.6411314732265698,0.8545037507988674,0.99835385031678,0.9870284846840601
BraTS20_Training_047,95,88,0.8710520008611969,0.900878138630716,0.8080447988423448,0.8334622994556098,0.9992866659283951,0.9983278096349829
BraTS20_Training_048,95,88,0.7348327497873519,0.7275712461122973,0.6352474434830192,0.5770339486316622,0.9996920919665109,0.9996558852569669
BraTS20_Training_049,95,88,0.9062312402449274,0.9607330788589594,0.950082715960584,0.9821890573803286,0.9986164411161546,0.9963923193639127
BraTS20_Training_050,95,88,0.9228821267008673,0.9623317266839987,0.9377265039864702,0.9539053483487574,0.9991161327813214,0.9980945032709693
BraTS20_Training_051,95,88,0.9108525650335966,0.955173289616477,0.9801349017027227,0.9631990214553369,0.997625712121711,0.9958311292263023
BraTS20_Training_052,95,88,0.8151546465222349,0.942535217917628,0.99569106221845,0.9965499070915494,0.9976861194978771,0.9950310653253076
BraTS20_Training_053,95,88,0.9435814051804036,0.9878340999969935,0.967851257863733,0.9829519957398687,0.9985725845322161,0.9994201811349775
BraTS20_Training_054,95,88,0.9195670003693895,0.9685965154349219,0.9114354506416462,0.9455506573348724,0.9993545015239461,0.9995402438416636
BraTS20_Training_055,95,88,0.8742268810385347,0.9150789621789247,0.9897207628764971,0.9946845739813863,0.9963109587420822,0.9878357086890067
BraTS20_Training_056,95,88,0.7912682738225859,0.775597210715272,0.683855935264793,0.6335867233724551,0.9997213905765998,0.9999852881847259
BraTS20_Training_057,95,88,0.9184309685814199,0.9415159631328286,0.9294210595619541,0.9695385983816758,0.9990253334099819,0.9952017749775219
BraTS20_Training_058,95,88,0.6745677547516641,0.8824537728804146,0.8188682539336142,0.9467607871715763,0.993684159779022,0.9838650812352376
BraTS20_Training_059,95,88,0.6776230054154239,0.8196255006176326,0.9028088587082337,0.9235854621748619,0.9977819795414151,0.9867668187696539
BraTS20_Training_060,95,88,0.9201034527061374,0.9396625968894068,0.943131327012047,0.9183851315487178,0.9989438590442631,0.9978224148566821
